MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AT_match_played,AT_goal_against,HT_goal_against,HT_goal_differnece,AT_current_standing,HT_match_played,AT_goal_differnece,AT_goal_for,HT_current_standing,HT_goal_for
0,19/08/95,Aston Villa,Man United,3,1,H,0,0,0,0,0,0,0,0,0,0
1,19/08/95,Blackburn,QPR,1,0,H,0,0,0,0,0,0,0,0,0,0
2,19/08/95,Chelsea,Everton,0,0,D,0,0,0,0,0,0,0,0,0,0
3,19/08/95,Liverpool,Sheffield Weds,1,0,H,0,0,0,0,0,0,0,0,0,0
4,19/08/95,Man City,Tottenham,1,1,D,0,0,0,0,0,0,0,0,0,0
5,19/08/95,Newcastle,Coventry,3,0,H,0,0,0,0,0,0,0,0,0,0
6,19/08/95,Southampton,Nott'm Forest,3,4,A,0,0,0,0,0,0,0,0,0,0
7,19/08/95,West Ham,Leeds,1,2,A,0,0,0,0,0,0,0,0,0,0
8,19/08/95,Wimbledon,Bolton,3,2,H,0,0,0,0,0,0,0,0,0,0
9,20/08/95,Arsenal,Middlesbrough,1,1,D,0,0,0,0,0,0,0,0,0,0
10,21/08/95,Leeds,Liverpool,1,0,H,1,0,1,1,3,1,1,1,3,2
11,22/08/95,Bolton,Newcastle,1,3,A,1,0,3,-1,3,1,3,3,0,2
12,23/08/95,Coventry,Man City,2,1,H,1,1,3,-3,1,1,0,1,0,0
13,23/08/95,Everton,Arsenal,0,2,A,1,1,0,0,1,1,0,1,1,0
14,23/08/95,Man United,West Ham,2,1,H,1,2,3,-2,0,1,-1,1,0,1
15,23/08/95,Nott'm Forest,Chelsea,0,0,D,1,0,3,1,1,1,0,0,3,4
16,23/08/95,QPR,Wimbledon,0,3,A,1,2,1,-1,3,1,1,3,0,0
17,23/08/95,Sheffield Weds,Blackburn,2,1,H,1,0,1,-1,3,1,1,1,0,0
18,23/08/95,Tottenham,Aston Villa,0,1,A,1,1,1,0,3,1,2,3,1,1
19,26/08/95,Bolton,Blackburn,2,1,H,2,2,6,-3,3,2,0,2,0,3
20,26/08/95,Coventry,Arsenal,0,0,D,2,1,4,-2,4,2,2,3,3,2
21,26/08/95,Everton,Southampton,2,0,H,1,4,2,-2,0,2,-1,3,1,0
22,26/08/95,Leeds,Aston Villa,2,0,H,2,1,1,2,6,2,3,4,6,3
23,26/08/95,Man United,Wimbledon,3,1,H,2,2,4,-1,6,2,4,6,3,3
24,26/08/95,Middlesbrough,Chelsea,2,0,H,2,0,1,0,2,1,0,0,1,1
25,26/08/95,Nott'm Forest,West Ham,1,1,D,2,4,3,1,0,2,-2,2,4,4
26,26/08/95,QPR,Man City,1,0,H,2,3,4,-4,1,2,-1,2,0,0
27,26/08/95,Tottenham,Liverpool,1,3,A,2,1,2,-1,3,2,0,1,1,1
28,27/08/95,Sheffield Weds,Newcastle,0,2,A,2,1,2,0,6,2,5,6,3,2
29,28/08/95,Blackburn,Man United,1,2,A,3,5,4,-1,6,3,1,6,3,3
30,29/08/95,Arsenal,Nott'm Forest,1,1,D,3,4,1,2,5,3,1,5,5,3
31,30/08/95,Aston Villa,Bolton,1,0,H,3,7,3,1,3,3,-2,5,6,4
32,30/08/95,Chelsea,Coventry,2,2,D,3,4,2,-2,4,3,-2,2,2,0
33,30/08/95,Liverpool,QPR,1,0,H,3,4,2,2,3,3,-3,1,6,4
34,30/08/95,Man City,Everton,0,2,A,3,2,4,-2,4,3,0,2,1,2
35,30/08/95,Newcastle,Middlesbrough,1,0,H,2,1,1,7,4,3,2,3,9,8
36,30/08/95,Southampton,Leeds,1,1,D,3,1,6,-3,9,2,4,5,0,3
37,30/08/95,West Ham,Tottenham,1,1,D,3,5,5,-2,1,3,-3,2,1,3
38,30/08/95,Wimbledon,Sheffield Weds,2,2,D,3,4,5,2,3,3,-2,2,6,7
39,09/09/95,Blackburn,Aston Villa,1,1,D,4,3,6,-2,9,4,2,5,3,4
40,09/09/95,Bolton,Middlesbrough,1,1,D,3,2,8,-3,4,4,1,3,3,5
41,09/09/95,Coventry,Nott'm Forest,1,1,D,4,5,6,-2,6,4,1,6,5,4
42,09/09/95,Everton,Man United,2,3,A,4,6,2,2,9,4,2,8,7,4
43,09/09/95,QPR,Sheffield Weds,0,3,A,4,6,5,-4,4,4,-2,4,3,1
