,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
0,07/08/99,Arsenal,Leicester,2.0,1.0,H
1,07/08/99,Chelsea,Sunderland,4.0,0.0,H
2,07/08/99,Coventry,Southampton,0.0,1.0,A
3,07/08/99,Leeds,Derby,0.0,0.0,D
4,07/08/99,Middlesbrough,Bradford,0.0,1.0,A
5,07/08/99,Newcastle,Aston Villa,0.0,1.0,A
6,07/08/99,Sheffield Weds,Liverpool,1.0,2.0,A
7,07/08/99,Watford,Wimbledon,2.0,3.0,A
8,07/08/99,West Ham,Tottenham,1.0,0.0,H
9,08/08/99,Everton,Man United,1.0,1.0,D
10,09/08/99,Tottenham,Newcastle,3.0,1.0,H
11,10/08/99,Derby,Arsenal,1.0,2.0,A
12,10/08/99,Sunderland,Watford,2.0,0.0,H
13,10/08/99,Wimbledon,Middlesbrough,2.0,3.0,A
14,11/08/99,Aston Villa,Everton,3.0,0.0,H
15,11/08/99,Leicester,Coventry,1.0,0.0,H
16,11/08/99,Man United,Sheffield Weds,4.0,0.0,H
17,11/08/99,Southampton,Leeds,0.0,3.0,A
18,14/08/99,Bradford,Sheffield Weds,1.0,1.0,D
19,14/08/99,Derby,Middlesbrough,1.0,3.0,A
20,14/08/99,Leicester,Chelsea,2.0,2.0,D
21,14/08/99,Liverpool,Watford,0.0,1.0,A
22,14/08/99,Man United,Leeds,2.0,0.0,H
23,14/08/99,Sunderland,Arsenal,0.0,0.0,D
24,14/08/99,Tottenham,Everton,3.0,2.0,H
25,14/08/99,Wimbledon,Coventry,1.0,1.0,D
26,15/08/99,Southampton,Newcastle,4.0,2.0,H
27,16/08/99,Aston Villa,West Ham,2.0,2.0,D
28,21/08/99,Chelsea,Aston Villa,1.0,0.0,H
29,21/08/99,Coventry,Derby,2.0,0.0,H
30,21/08/99,Everton,Southampton,4.0,1.0,H
31,21/08/99,Leeds,Sunderland,2.0,1.0,H
32,21/08/99,Middlesbrough,Liverpool,1.0,0.0,H
33,21/08/99,Newcastle,Wimbledon,3.0,3.0,D
34,21/08/99,Sheffield Weds,Tottenham,1.0,2.0,A
35,21/08/99,Watford,Bradford,1.0,0.0,H
36,21/08/99,West Ham,Leicester,2.0,1.0,H
37,22/08/99,Arsenal,Man United,1.0,2.0,A
38,23/08/99,Leeds,Liverpool,1.0,2.0,A
39,24/08/99,Middlesbrough,Leicester,0.0,3.0,A
40,24/08/99,Watford,Aston Villa,0.0,1.0,A
41,25/08/99,Arsenal,Bradford,2.0,0.0,H
42,25/08/99,Coventry,Man United,1.0,2.0,A
43,25/08/99,Everton,Wimbledon,4.0,0.0,H
44,25/08/99,Newcastle,Sunderland,1.0,2.0,A
45,25/08/99,Sheffield Weds,Derby,0.0,2.0,A
46,28/08/99,Aston Villa,Middlesbrough,1.0,0.0,H
47,28/08/99,Bradford,West Ham,0.0,3.0,A
48,28/08/99,Derby,Everton,1.0,0.0,H
49,28/08/99,Liverpool,Arsenal,2.0,0.0,H
50,28/08/99,Southampton,Sheffield Weds,2.0,0.0,H
51,28/08/99,Tottenham,Leeds,1.0,2.0,A
52,28/08/99,Wimbledon,Chelsea,0.0,1.0,A
53,29/08/99,Sunderland,Coventry,1.0,1.0,D
54,30/08/99,Leicester,Watford,1.0,0.0,H
55,30/08/99,Man United,Newcastle,5.0,1.0,H
56,11/09/99,Arsenal,Aston Villa,3.0,1.0,H
57,11/09/99,Chelsea,Newcastle,1.0,0.0,H
58,11/09/99,Coventry,Leeds,3.0,4.0,A
59,11/09/99,Liverpool,Man United,2.0,3.0,A
60,11/09/99,Middlesbrough,Southampton,3.0,2.0,H
61,11/09/99,Sheffield Weds,Everton,0.0,2.0,A
62,11/09/99,Sunderland,Leicester,2.0,0.0,H
63,11/09/99,West Ham,Watford,1.0,0.0,H
64,11/09/99,Wimbledon,Derby,2.0,2.0,D
65,12/09/99,Bradford,Tottenham,1.0,1.0,D
66,18/09/99,Aston Villa,Bradford,1.0,0.0,H
67,18/09/99,Derby,Sunderland,0.0,5.0,A
68,18/09/99,Leicester,Liverpool,2.0,2.0,D
69,18/09/99,Man United,Wimbledon,1.0,1.0,D
70,18/09/99,Southampton,Arsenal,0.0,1.0,A
71,18/09/99,Watford,Chelsea,1.0,0.0,H
72,19/09/99,Everton,West Ham,1.0,0.0,H
73,19/09/99,Leeds,Middlesbrough,2.0,0.0,H
74,19/09/99,Newcastle,Sheffield Weds,8.0,0.0,H
75,19/09/99,Tottenham,Coventry,3.0,2.0,H
76,25/09/99,Arsenal,Watford,1.0,0.0,H
77,25/09/99,Coventry,West Ham,1.0,0.0,H
78,25/09/99,Derby,Bradford,0.0,1.0,A
79,25/09/99,Leeds,Newcastle,3.0,2.0,H
80,25/09/99,Leicester,Aston Villa,3.0,1.0,H
81,25/09/99,Man United,Southampton,3.0,3.0,D
82,25/09/99,Middlesbrough,Chelsea,0.0,1.0,A
83,25/09/99,Sunderland,Sheffield Weds,1.0,0.0,H
84,26/09/99,Wimbledon,Tottenham,1.0,1.0,D
85,27/09/99,Liverpool,Everton,0.0,1.0,A
86,02/10/99,Aston Villa,Liverpool,0.0,0.0,D
87,02/10/99,Bradford,Sunderland,0.0,4.0,A
88,02/10/99,Everton,Coventry,1.0,1.0,D
89,02/10/99,Sheffield Weds,Wimbledon,5.0,1.0,H
90,03/10/99,Chelsea,Man United,5.0,0.0,H
91,03/10/99,Newcastle,Middlesbrough,2.0,1.0,H
92,03/10/99,Tottenham,Leicester,2.0,3.0,A
93,03/10/99,Watford,Leeds,1.0,2.0,A
94,03/10/99,West Ham,Arsenal,2.0,1.0,H
95,04/10/99,Southampton,Derby,3.0,3.0,D
96,16/10/99,Arsenal,Everton,4.0,1.0,H
97,16/10/99,Coventry,Newcastle,4.0,1.0,H
98,16/10/99,Derby,Tottenham,0.0,1.0,A
99,16/10/99,Leeds,Sheffield Weds,2.0,0.0,H
100,16/10/99,Leicester,Southampton,2.0,1.0,H
101,16/10/99,Liverpool,Chelsea,1.0,0.0,H
102,16/10/99,Man United,Watford,4.0,1.0,H
103,16/10/99,Wimbledon,Bradford,3.0,2.0,H
104,17/10/99,Middlesbrough,West Ham,2.0,0.0,H
105,18/10/99,Sunderland,Aston Villa,2.0,1.0,H
106,23/10/99,Aston Villa,Wimbledon,1.0,1.0,D
107,23/10/99,Bradford,Leicester,3.0,1.0,H
108,23/10/99,Chelsea,Arsenal,2.0,3.0,A
109,23/10/99,Sheffield Weds,Coventry,0.0,0.0,D
110,23/10/99,Southampton,Liverpool,1.0,1.0,D
111,23/10/99,Tottenham,Man United,3.0,1.0,H
112,24/10/99,Everton,Leeds,4.0,4.0,D
113,24/10/99,Watford,Middlesbrough,1.0,3.0,A
114,24/10/99,West Ham,Sunderland,1.0,1.0,D
115,25/10/99,Newcastle,Derby,2.0,0.0,H
116,27/10/99,Liverpool,West Ham,1.0,0.0,H
117,30/10/99,Arsenal,Newcastle,0.0,0.0,D
118,30/10/99,Derby,Chelsea,3.0,1.0,H
119,30/10/99,Leeds,West Ham,1.0,0.0,H
120,30/10/99,Leicester,Sheffield Weds,3.0,0.0,H
121,30/10/99,Man United,Aston Villa,3.0,0.0,H
122,30/10/99,Middlesbrough,Everton,2.0,1.0,H
123,30/10/99,Wimbledon,Southampton,1.0,1.0,D
124,31/10/99,Coventry,Watford,4.0,0.0,H
125,31/10/99,Sunderland,Tottenham,2.0,1.0,H
126,01/11/99,Liverpool,Bradford,3.0,1.0,H
127,06/11/99,Aston Villa,Southampton,0.0,1.0,A
128,06/11/99,Bradford,Coventry,1.0,1.0,D
129,06/11/99,Liverpool,Derby,2.0,0.0,H
130,06/11/99,Man United,Leicester,2.0,0.0,H
131,06/11/99,Middlesbrough,Sunderland,1.0,1.0,D
132,06/11/99,Sheffield Weds,Watford,2.0,2.0,D
133,07/11/99,Chelsea,West Ham,0.0,0.0,D
134,07/11/99,Newcastle,Everton,1.0,1.0,D
135,07/11/99,Tottenham,Arsenal,2.0,1.0,H
136,07/11/99,Wimbledon,Leeds,2.0,0.0,H
137,20/11/99,Arsenal,Middlesbrough,5.0,1.0,H
138,20/11/99,Derby,Man United,1.0,2.0,A
139,20/11/99,Everton,Chelsea,1.0,1.0,D
140,20/11/99,Leeds,Bradford,2.0,1.0,H
141,20/11/99,Leicester,Wimbledon,2.0,1.0,H
142,20/11/99,Southampton,Tottenham,0.0,1.0,A
143,20/11/99,Sunderland,Liverpool,0.0,2.0,A
144,20/11/99,Watford,Newcastle,1.0,1.0,D
145,21/11/99,West Ham,Sheffield Weds,4.0,3.0,H
146,22/11/99,Coventry,Aston Villa,2.0,1.0,H
147,27/11/99,Coventry,Leicester,0.0,1.0,A
148,27/11/99,Everton,Aston Villa,0.0,0.0,D
149,27/11/99,Middlesbrough,Wimbledon,0.0,0.0,D
150,27/11/99,Watford,Sunderland,2.0,3.0,A
151,27/11/99,West Ham,Liverpool,1.0,0.0,H
152,28/11/99,Arsenal,Derby,2.0,1.0,H
153,28/11/99,Chelsea,Bradford,1.0,0.0,H
154,28/11/99,Leeds,Southampton,1.0,0.0,H
155,28/11/99,Newcastle,Tottenham,2.0,1.0,H
156,04/12/99,Aston Villa,Newcastle,0.0,1.0,A
157,04/12/99,Bradford,Middlesbrough,1.0,1.0,D
158,04/12/99,Leicester,Arsenal,0.0,3.0,A
159,04/12/99,Man United,Everton,5.0,1.0,H
160,04/12/99,Southampton,Coventry,0.0,0.0,D
161,04/12/99,Sunderland,Chelsea,4.0,1.0,H
162,04/12/99,Wimbledon,Watford,5.0,0.0,H
163,05/12/99,Derby,Leeds,0.0,1.0,A
164,05/12/99,Liverpool,Sheffield Weds,4.0,1.0,H
165,06/12/99,Tottenham,West Ham,0.0,0.0,D
166,18/12/99,Arsenal,Wimbledon,1.0,1.0,D
167,18/12/99,Aston Villa,Sheffield Weds,2.0,1.0,H
168,18/12/99,Bradford,Newcastle,2.0,0.0,H
169,18/12/99,Leicester,Derby,0.0,1.0,A
170,18/12/99,Liverpool,Coventry,2.0,0.0,H
171,18/12/99,Middlesbrough,Tottenham,2.0,1.0,H
172,18/12/99,Sunderland,Southampton,2.0,0.0,H
173,18/12/99,Watford,Everton,1.0,3.0,A
174,18/12/99,West Ham,Man United,2.0,4.0,A
175,19/12/99,Chelsea,Leeds,0.0,2.0,A
176,26/12/99,Coventry,Arsenal,3.0,2.0,H
177,26/12/99,Derby,Aston Villa,0.0,2.0,A
178,26/12/99,Everton,Sunderland,5.0,0.0,H
179,26/12/99,Leeds,Leicester,2.0,1.0,H
180,26/12/99,Man United,Bradford,4.0,0.0,H
181,26/12/99,Newcastle,Liverpool,2.0,2.0,D
182,26/12/99,Sheffield Weds,Middlesbrough,1.0,0.0,H
183,26/12/99,Southampton,Chelsea,1.0,2.0,A
184,26/12/99,Tottenham,Watford,4.0,0.0,H
185,26/12/99,Wimbledon,West Ham,2.0,2.0,D
186,28/12/99,Arsenal,Leeds,2.0,0.0,H
187,28/12/99,Bradford,Everton,0.0,0.0,D
188,28/12/99,Leicester,Newcastle,1.0,2.0,A
189,28/12/99,Liverpool,Wimbledon,3.0,1.0,H
