MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
0,13/08/05,Aston Villa,Bolton,2,2,D
1,13/08/05,Everton,Man United,0,2,A
2,13/08/05,Fulham,Birmingham,0,0,D
3,13/08/05,Man City,West Brom,0,0,D
4,13/08/05,Middlesbrough,Liverpool,0,0,D
5,13/08/05,Portsmouth,Tottenham,0,2,A
6,13/08/05,Sunderland,Charlton,1,3,A
7,13/08/05,West Ham,Blackburn,3,1,H
8,14/08/05,Arsenal,Newcastle,2,0,H
9,14/08/05,Wigan,Chelsea,0,1,A
10,20/08/05,Birmingham,Man City,1,2,A
11,20/08/05,Blackburn,Fulham,2,1,H
12,20/08/05,Charlton,Wigan,1,0,H
13,20/08/05,Liverpool,Sunderland,1,0,H
14,20/08/05,Man United,Aston Villa,1,0,H
15,20/08/05,Newcastle,West Ham,0,0,D
16,20/08/05,Tottenham,Middlesbrough,2,0,H
17,20/08/05,West Brom,Portsmouth,2,1,H
18,21/08/05,Bolton,Everton,0,1,A
19,21/08/05,Chelsea,Arsenal,1,0,H
20,23/08/05,Birmingham,Middlesbrough,0,3,A
21,23/08/05,Portsmouth,Aston Villa,1,1,D
22,23/08/05,Sunderland,Man City,1,2,A
23,24/08/05,Arsenal,Fulham,4,1,H
24,24/08/05,Blackburn,Tottenham,0,0,D
25,24/08/05,Bolton,Newcastle,2,0,H
26,24/08/05,Chelsea,West Brom,4,0,H
27,27/08/05,Aston Villa,Blackburn,1,0,H
28,27/08/05,Fulham,Everton,1,0,H
29,27/08/05,Man City,Portsmouth,2,1,H
30,27/08/05,Tottenham,Chelsea,0,2,A
31,27/08/05,West Brom,Birmingham,2,3,A
32,27/08/05,West Ham,Bolton,1,2,A
33,27/08/05,Wigan,Sunderland,1,0,H
34,28/08/05,Middlesbrough,Charlton,0,3,A
35,28/08/05,Newcastle,Man United,0,2,A
36,10/09/05,Birmingham,Charlton,0,1,A
37,10/09/05,Chelsea,Sunderland,2,0,H
38,10/09/05,Everton,Portsmouth,0,1,A
39,10/09/05,Man United,Man City,1,1,D
40,10/09/05,Middlesbrough,Arsenal,2,1,H
41,10/09/05,Newcastle,Fulham,1,1,D
42,10/09/05,Tottenham,Liverpool,0,0,D
43,10/09/05,West Brom,Wigan,1,2,A
