MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA
0,14/08/10,Aston Villa,West Ham,3,0,H,78,75
1,14/08/10,Blackburn,Everton,1,0,H,75,78
2,14/08/10,Bolton,Fulham,0,0,D,75,77
3,14/08/10,Chelsea,West Brom,6,0,H,83,73
4,14/08/10,Sunderland,Birmingham,2,2,D,75,76
5,14/08/10,Tottenham,Man City,0,0,D,80,82
6,14/08/10,Wigan,Blackpool,0,4,A,73,69
7,14/08/10,Wolves,Stoke,2,1,H,73,74
8,15/08/10,Liverpool,Arsenal,1,1,D,80,81
9,16/08/10,Man United,Newcastle,3,0,H,82,74
10,21/08/10,Arsenal,Blackpool,6,0,H,81,69
11,21/08/10,Birmingham,Blackburn,2,1,H,76,75
12,21/08/10,Everton,Wolves,1,1,D,78,73
13,21/08/10,Stoke,Tottenham,1,2,A,74,80
14,21/08/10,West Brom,Sunderland,1,0,H,73,75
15,21/08/10,West Ham,Bolton,1,3,A,75,75
16,21/08/10,Wigan,Chelsea,0,6,A,73,83
17,22/08/10,Fulham,Man United,2,2,D,77,82
18,22/08/10,Newcastle,Aston Villa,6,0,H,74,78
19,23/08/10,Man City,Liverpool,3,0,H,82,80
20,28/08/10,Blackburn,Arsenal,1,2,A,75,81
21,28/08/10,Blackpool,Fulham,2,2,D,69,77
22,28/08/10,Chelsea,Stoke,2,0,H,83,74
23,28/08/10,Man United,West Ham,3,0,H,82,75
24,28/08/10,Tottenham,Wigan,0,1,A,80,73
25,28/08/10,Wolves,Newcastle,1,1,D,73,74
26,29/08/10,Aston Villa,Everton,1,0,H,78,78
27,29/08/10,Bolton,Birmingham,2,2,D,75,76
28,29/08/10,Liverpool,West Brom,1,0,H,80,73
29,29/08/10,Sunderland,Man City,1,0,H,75,82
30,11/09/10,Arsenal,Bolton,4,1,H,81,75
31,11/09/10,Everton,Man United,3,3,D,78,82
32,11/09/10,Fulham,Wolves,2,1,H,77,73
33,11/09/10,Man City,Blackburn,1,1,D,82,75
34,11/09/10,Newcastle,Blackpool,0,2,A,74,69
35,11/09/10,West Brom,Tottenham,1,1,D,73,80
36,11/09/10,West Ham,Chelsea,1,3,A,75,83
37,11/09/10,Wigan,Sunderland,1,1,D,73,75
38,12/09/10,Birmingham,Liverpool,0,0,D,76,80
39,13/09/10,Stoke,Aston Villa,2,1,H,74,78
40,18/09/10,Aston Villa,Bolton,1,1,D,78,75
41,18/09/10,Blackburn,Fulham,1,1,D,75,77
42,18/09/10,Everton,Newcastle,0,1,A,78,74
43,18/09/10,Stoke,West Ham,1,1,D,74,75
44,18/09/10,Sunderland,Arsenal,1,1,D,75,81
45,18/09/10,Tottenham,Wolves,3,1,H,80,73
46,18/09/10,West Brom,Birmingham,3,1,H,73,76
47,19/09/10,Chelsea,Blackpool,4,0,H,83,69
48,19/09/10,Man United,Liverpool,3,2,H,82,80
49,19/09/10,Wigan,Man City,0,2,A,73,82
50,25/09/10,Arsenal,West Brom,2,3,A,81,73
51,25/09/10,Birmingham,Wigan,0,0,D,76,73
52,25/09/10,Blackpool,Blackburn,1,2,A,69,75
53,25/09/10,Fulham,Everton,0,0,D,77,78
54,25/09/10,Liverpool,Sunderland,2,2,D,80,75
55,25/09/10,Man City,Chelsea,1,0,H,82,83
56,25/09/10,West Ham,Tottenham,1,0,H,75,80
57,26/09/10,Bolton,Man United,2,2,D,75,82
58,26/09/10,Newcastle,Stoke,1,2,A,74,74
59,26/09/10,Wolves,Aston Villa,1,2,A,73,78
60,02/10/10,Birmingham,Everton,0,2,A,76,78
