Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,HT_match_played,HT_current_standing,HT_past_standing,HT_goal_for,HT_goal_against,HT_goal_diff,HT_win_rate_season,AT_match_played,AT_current_standing,AT_past_standing,AT_goal_for,AT_goal_against,AT_goal_diff,AT_win_rate_season,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak,HT_5_win_rate,AT_5_win_rate
2012-08-18,Arsenal,Sunderland,0,0,D,80,75,0,0,70.0,0,0,0,,0,0,70.0,0,0,0,,0,0,0,0,0,0,0,0,,
2012-08-18,Fulham,Norwich,5,0,H,77,73,0,0,52.0,0,0,0,,0,0,52.0,0,0,0,,0,0,0,0,0,0,0,0,,
2012-08-18,Newcastle,Tottenham,2,1,H,77,80,0,0,65.0,0,0,0,,0,0,65.0,0,0,0,,0,0,0,0,0,0,0,0,,
2012-08-18,QPR,Swansea,0,5,A,75,74,0,0,37.0,0,0,0,,0,0,37.0,0,0,0,,0,0,0,0,0,0,0,0,,
2012-08-18,Reading,Stoke,1,1,D,71,75,0,0,,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,
2012-08-18,West Brom,Liverpool,3,0,H,74,79,0,0,47.0,0,0,0,,0,0,47.0,0,0,0,,0,0,0,0,0,0,0,0,,
2012-08-18,West Ham,Aston Villa,1,0,H,74,75,0,0,,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,
2012-08-19,Man City,Southampton,3,2,H,82,73,0,0,89.0,0,0,0,,0,0,89.0,0,0,0,,0,0,0,0,0,0,0,0,,
2012-08-19,Wigan,Chelsea,0,2,A,74,81,0,0,43.0,0,0,0,,0,0,43.0,0,0,0,,0,0,0,0,0,0,0,0,,
2012-08-20,Everton,Man United,1,0,H,76,82,0,0,56.0,0,0,0,,0,0,56.0,0,0,0,,0,0,0,0,0,0,0,0,,
2012-08-22,Chelsea,Reading,4,2,H,81,71,1,3,43.0,2,0,2,1.0,1,1,,1,1,0,0.0,0,0,0,0,0,0,0,0,,
2012-08-25,Aston Villa,Everton,1,3,A,75,76,1,0,,0,1,-1,0.0,1,3,56.0,1,0,1,1.0,0,0,0,0,0,0,0,0,,
2012-08-25,Chelsea,Newcastle,2,0,H,81,77,2,6,43.0,6,2,4,1.0,1,3,65.0,2,1,1,1.0,0,0,0,0,0,0,0,0,,
2012-08-25,Man United,Fulham,3,2,H,82,77,1,0,56.0,0,1,-1,0.0,1,3,52.0,5,0,5,1.0,0,0,0,0,0,0,0,0,,
2012-08-25,Norwich,QPR,1,1,D,73,75,1,0,52.0,0,5,-5,0.0,1,0,37.0,0,5,-5,0.0,0,0,0,0,0,0,0,0,,
2012-08-25,Southampton,Wigan,0,2,A,73,74,1,0,89.0,2,3,-1,0.0,1,0,43.0,0,2,-2,0.0,0,0,0,0,0,0,0,0,,
2012-08-25,Swansea,West Ham,3,0,H,74,74,1,3,37.0,5,0,5,1.0,1,3,,1,0,1,1.0,0,0,0,0,0,0,0,0,,
2012-08-25,Tottenham,West Brom,1,1,D,80,74,1,0,65.0,1,2,-1,0.0,1,3,47.0,3,0,3,1.0,0,0,0,0,0,0,0,0,,
2012-08-26,Liverpool,Man City,2,2,D,79,82,1,0,47.0,0,3,-3,0.0,1,3,89.0,3,2,1,1.0,0,0,0,0,0,0,0,0,,
2012-08-26,Stoke,Arsenal,0,0,D,75,80,1,1,,1,1,0,0.0,1,1,70.0,0,0,0,0.0,0,0,0,0,0,0,0,0,,
2012-09-01,Man City,QPR,3,1,H,82,75,2,4,89.0,5,4,1,0.5,2,1,37.0,1,6,-5,0.0,0,0,0,0,0,0,0,0,,
2012-09-01,Swansea,Sunderland,2,2,D,74,75,2,6,37.0,8,0,8,1.0,1,1,70.0,0,0,0,0.0,0,0,0,0,0,0,0,0,,
2012-09-01,Tottenham,Norwich,1,1,D,80,73,2,1,65.0,2,3,-1,0.0,2,1,52.0,1,6,-5,0.0,0,0,0,0,0,0,0,0,,
2012-09-01,West Brom,Everton,2,0,H,74,76,2,4,47.0,4,1,3,0.5,2,6,56.0,4,1,3,1.0,0,0,0,0,0,0,0,0,,
2012-09-01,West Ham,Fulham,3,0,H,74,77,2,3,,1,3,-2,0.5,2,3,52.0,7,3,4,0.5,0,0,0,0,0,0,0,0,,
2012-09-01,Wigan,Stoke,2,2,D,74,75,2,3,43.0,2,2,0,0.5,2,2,,1,1,0,0.0,0,0,0,0,0,0,0,0,,
2012-09-02,Liverpool,Arsenal,0,2,A,79,80,2,1,47.0,2,5,-3,0.0,2,2,70.0,0,0,0,0.0,0,0,0,0,0,0,0,0,,
2012-09-02,Newcastle,Aston Villa,1,1,D,77,75,2,3,65.0,2,3,-1,0.5,2,0,,1,4,-3,0.0,0,0,0,0,0,0,0,0,,
2012-09-02,Southampton,Man United,2,3,A,73,82,2,0,89.0,2,5,-3,0.0,2,3,56.0,3,3,0,0.5,0,0,0,0,0,0,0,0,,
2012-09-15,Arsenal,Southampton,6,1,H,80,73,3,5,70.0,2,0,2,0.3333333333333333,3,0,89.0,4,8,-4,0.0,0,0,0,0,0,0,0,0,,
2012-09-15,Aston Villa,Swansea,2,0,H,75,74,3,1,,2,5,-3,0.0,3,7,37.0,10,2,8,0.6666666666666666,0,0,0,0,0,0,0,0,,
2012-09-15,Fulham,West Brom,3,0,H,77,74,3,3,52.0,7,6,1,0.3333333333333333,3,7,47.0,6,1,5,0.6666666666666666,0,0,0,0,0,0,0,0,,
2012-09-15,Man United,Wigan,4,0,H,82,74,3,6,56.0,6,5,1,0.6666666666666666,3,4,43.0,4,4,0,0.3333333333333333,0,0,0,0,0,0,0,0,,
2012-09-15,Norwich,West Ham,0,0,D,73,74,3,2,52.0,2,7,-5,0.0,3,6,,4,3,1,0.6666666666666666,0,0,0,0,0,0,0,0,,
2012-09-15,QPR,Chelsea,0,0,D,75,81,3,1,37.0,2,9,-7,0.0,3,9,43.0,8,2,6,1.0,0,0,0,0,0,0,0,0,,
