Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff,HT_match_played,HT_current_standing,HT_past_standing,HT_past_goal_diff,HT_past_win_rate,HT_goal_for,HT_goal_against,HT_goal_diff,HT_win_rate_season,AT_match_played,AT_current_standing,AT_past_standing,AT_past_goal_diff,AT_past_win_rate,AT_goal_for,AT_goal_against,AT_goal_diff,AT_win_rate_season,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak,HT_5_win_rate,AT_5_win_rate,current_standing_diff,past_standing_diff,past_goal_diff_diff,past_win_rate_diff,win_rate_season_diff,goal_diff_diff
2018-08-10,Man United,Leicester,2.0,1.0,H,83,78,5,0,0,81,40,0.6578947368421053,0.0,0.0,0.0,,0,0,47,-4,0.3157894736842105,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,34,44,0.3421052631578948,,0.0
2018-08-11,Newcastle,Tottenham,1.0,2.0,A,76,83,-7,0,0,44,-8,0.3157894736842105,0.0,0.0,0.0,,0,0,77,38,0.6052631578947368,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,-33,-46,-0.2894736842105263,,0.0
2018-08-11,Fulham,Crystal Palace,0.0,2.0,A,76,77,-1,0,0,-1,-1,0.0,0.0,0.0,0.0,,0,0,44,-10,0.2894736842105263,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,-45,9,-0.2894736842105263,,0.0
2018-08-11,Huddersfield,Chelsea,0.0,3.0,A,75,83,-8,0,0,37,-30,0.2368421052631579,0.0,0.0,0.0,,0,0,70,24,0.5526315789473685,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,-33,-54,-0.31578947368421056,,0.0
2018-08-11,Watford,Brighton,2.0,0.0,H,77,76,1,0,0,41,-20,0.2894736842105263,0.0,0.0,0.0,,0,0,40,-20,0.2368421052631579,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,1,0,0.05263157894736842,,0.0
2018-08-11,Bournemouth,Cardiff,2.0,0.0,H,76,73,3,0,0,44,-16,0.2894736842105263,0.0,0.0,0.0,,0,0,-1,-1,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,45,-15,0.2894736842105263,,0.0
2018-08-11,Wolves,Everton,2.0,2.0,D,76,79,-3,0,0,-1,-1,0.0,0.0,0.0,0.0,,0,0,49,-14,0.34210526315789475,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,-50,13,-0.34210526315789475,,0.0
2018-08-12,Liverpool,West Ham,4.0,0.0,H,83,78,5,0,0,75,46,0.5526315789473685,0.0,0.0,0.0,,0,0,42,-20,0.2631578947368421,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,33,66,0.2894736842105264,,0.0
2018-08-12,Southampton,Burnley,0.0,0.0,D,77,77,0,0,0,36,-19,0.18421052631578946,0.0,0.0,0.0,,0,0,54,-3,0.3684210526315789,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,-18,-16,-0.18421052631578946,,0.0
2018-08-12,Arsenal,Man City,0.0,2.0,A,82,85,-3,0,0,63,23,0.5,0.0,0.0,0.0,,0,0,100,79,0.8421052631578947,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,-37,-56,-0.3421052631578947,,0.0
2018-08-18,Cardiff,Newcastle,0.0,0.0,D,73,76,-3,1,0,-1,-1,0.0,0.0,2.0,-2.0,0.0,1,0,44,-8,0.3157894736842105,1.0,2.0,-1.0,0.0,0,0,0,0,0,0,0,0,,,0,-45,7,-0.3157894736842105,0.0,-1.0
2018-08-18,Tottenham,Fulham,3.0,1.0,H,83,76,7,1,3,77,38,0.6052631578947368,2.0,1.0,1.0,1.0,1,0,-1,-1,0.0,0.0,2.0,-2.0,0.0,0,0,0,0,0,0,0,0,,,3,78,39,0.6052631578947368,1.0,3.0
2018-08-18,Everton,Southampton,2.0,1.0,H,79,77,2,1,1,49,-14,0.34210526315789475,2.0,2.0,0.0,0.0,1,1,36,-19,0.18421052631578946,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,0,13,5,0.15789473684210528,0.0,0.0
2018-08-18,Leicester,Wolves,2.0,0.0,H,78,76,2,1,0,47,-4,0.3157894736842105,1.0,2.0,-1.0,0.0,1,1,-1,-1,0.0,2.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,,,-1,48,-3,0.3157894736842105,0.0,-1.0
