Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff
2021-08-13,Brentford,Arsenal,2.0,0.0,H,72,80,-8
2021-08-14,Man United,Leeds,5.0,1.0,H,82,76,6
2021-08-14,Watford,Aston Villa,3.0,2.0,H,74,77,-3
2021-08-14,Leicester,Wolves,1.0,0.0,H,80,79,1
2021-08-14,Everton,Southampton,3.0,1.0,H,79,76,3
2021-08-14,Chelsea,Crystal Palace,3.0,0.0,H,82,76,6
2021-08-14,Burnley,Brighton,1.0,2.0,A,76,75,1
2021-08-14,Norwich City,Liverpool,0.0,3.0,A,73,85,-12
2021-08-15,Newcastle,West Ham,2.0,4.0,A,76,78,-2
2021-08-15,Tottenham,Man City,1.0,0.0,H,82,85,-3
2021-08-21,Liverpool,Burnley,2.0,0.0,H,85,76,9
2021-08-21,Man City,Norwich City,5.0,0.0,H,85,73,12
2021-08-21,Leeds,Everton,2.0,2.0,D,76,79,-3
2021-08-21,Crystal Palace,Brentford,0.0,0.0,D,76,72,4
2021-08-21,Aston Villa,Newcastle,2.0,0.0,H,77,76,1
2021-08-21,Brighton,Watford,2.0,0.0,H,75,74,1
2021-08-22,Wolves,Tottenham,0.0,1.0,A,79,82,-3
2021-08-22,Southampton,Man United,1.0,1.0,D,76,82,-6
2021-08-22,Arsenal,Chelsea,0.0,2.0,A,80,82,-2
2021-08-23,West Ham,Leicester,4.0,1.0,H,78,80,-2
2021-08-28,Man City,Arsenal,5.0,0.0,H,85,80,5
2021-08-28,West Ham,Crystal Palace,2.0,2.0,D,78,76,2
2021-08-28,Norwich City,Leicester,1.0,2.0,A,73,80,-7
2021-08-28,Newcastle,Southampton,2.0,2.0,D,76,76,0
2021-08-28,Brighton,Everton,0.0,2.0,A,75,79,-4
2021-08-28,Aston Villa,Brentford,1.0,1.0,D,77,72,5
2021-08-28,Liverpool,Chelsea,1.0,1.0,D,85,82,3
2021-08-29,Tottenham,Watford,1.0,0.0,H,82,74,8
2021-08-29,Burnley,Leeds,1.0,1.0,D,76,76,0
2021-08-29,Wolves,Man United,0.0,1.0,A,79,82,-3
2021-09-11,Crystal Palace,Tottenham,0.0,0.0,H,76,82,-6
2021-09-11,Watford,Wolves,0.0,0.0,H,74,79,-5
2021-09-11,Southampton,West Ham,0.0,0.0,H,76,78,-2
2021-09-11,Man United,Newcastle,0.0,0.0,H,82,76,6
2021-09-11,Leicester,Man City,0.0,0.0,H,80,85,-5
2021-09-11,Brentford,Brighton,0.0,0.0,H,72,75,-3
2021-09-11,Arsenal,Norwich City,0.0,0.0,H,80,73,7
2021-09-11,Chelsea,Aston Villa,0.0,0.0,H,82,77,5
2021-09-12,Leeds,Liverpool,0.0,0.0,H,76,85,-9
2021-09-13,Everton,Burnley,0.0,0.0,H,79,76,3
2021-09-17,Newcastle,Leeds,0.0,0.0,H,76,76,0
2021-09-18,Wolves,Brentford,0.0,0.0,H,79,72,7
2021-09-18,Norwich City,Watford,0.0,0.0,H,73,74,-1
2021-09-18,Man City,Southampton,0.0,0.0,H,85,76,9
2021-09-18,Liverpool,Crystal Palace,0.0,0.0,H,85,76,9
2021-09-18,Burnley,Arsenal,0.0,0.0,H,76,80,-4
2021-09-18,Aston Villa,Everton,0.0,0.0,H,77,79,-2
2021-09-19,West Ham,Man United,0.0,0.0,H,78,82,-4
2021-09-19,Brighton,Leicester,0.0,0.0,A,75,80,-5
2021-09-19,Tottenham,Chelsea,0.0,0.0,H,82,82,0
2021-09-25,Chelsea,Man City,0.0,0.0,A,82,85,-3
2021-09-25,Watford,Newcastle,0.0,0.0,H,74,76,-2
2021-09-25,Man United,Aston Villa,0.0,0.0,H,82,77,5
2021-09-25,Leicester,Burnley,0.0,0.0,H,80,76,4
2021-09-25,Leeds,West Ham,0.0,0.0,H,76,78,-2
2021-09-25,Everton,Norwich City,0.0,0.0,H,79,73,6
2021-09-25,Brentford,Liverpool,0.0,0.0,A,72,85,-13
2021-09-26,Southampton,Wolves,0.0,0.0,H,76,79,-3
2021-09-26,Arsenal,Tottenham,0.0,0.0,H,80,82,-2
2021-09-27,Crystal Palace,Brighton,0.0,0.0,H,76,75,1
2021-10-02,Man United,Everton,0.0,0.0,H,82,79,3
2021-10-02,Wolves,Newcastle,0.0,0.0,H,79,76,3
2021-10-02,Leeds,Watford,0.0,0.0,H,76,74,2
2021-10-02,Chelsea,Southampton,0.0,0.0,H,82,76,6
2021-10-02,Burnley,Norwich City,0.0,0.0,H,76,73,3
2021-10-02,Brighton,Arsenal,0.0,0.0,A,75,80,-5
2021-10-03,West Ham,Brentford,0.0,0.0,H,78,72,6
2021-10-03,Tottenham,Aston Villa,0.0,0.0,H,82,77,5
2021-10-03,Crystal Palace,Leicester,0.0,0.0,A,76,80,-4
2021-10-03,Liverpool,Man City,0.0,0.0,H,85,85,0
2021-10-16,Watford,Liverpool,0.0,0.0,A,74,85,-11
2021-10-16,Southampton,Leeds,0.0,0.0,H,76,76,0
2021-10-16,Norwich City,Brighton,0.0,0.0,H,73,75,-2
2021-10-16,Man City,Burnley,0.0,0.0,H,85,76,9
2021-10-16,Leicester,Man United,0.0,0.0,H,80,82,-2
2021-10-16,Aston Villa,Wolves,0.0,0.0,H,77,79,-2
2021-10-16,Brentford,Chelsea,0.0,0.0,H,72,82,-10
2021-10-17,Everton,West Ham,0.0,0.0,H,79,78,1
2021-10-17,Newcastle,Tottenham,0.0,0.0,A,76,82,-6
2021-10-18,Arsenal,Crystal Palace,0.0,0.0,H,80,76,4
2021-10-22,Arsenal,Aston Villa,0.0,0.0,H,80,77,3
2021-10-23,Chelsea,Norwich City,0.0,0.0,H,82,73,9
2021-10-23,Southampton,Burnley,0.0,0.0,H,76,76,0
2021-10-23,Leeds,Wolves,0.0,0.0,H,76,79,-3
2021-10-23,Everton,Watford,0.0,0.0,H,79,74,5
2021-10-23,Crystal Palace,Newcastle,0.0,0.0,H,76,76,0
2021-10-23,Brighton,Man City,0.0,0.0,A,75,85,-10
2021-10-24,West Ham,Tottenham,0.0,0.0,H,78,82,-4
2021-10-24,Brentford,Leicester,0.0,0.0,H,72,80,-8
2021-10-24,Man United,Liverpool,0.0,0.0,H,82,85,-3
2021-10-30,Leicester,Arsenal,0.0,0.0,H,80,80,0
2021-10-30,Watford,Southampton,0.0,0.0,H,74,76,-2
2021-10-30,Newcastle,Chelsea,0.0,0.0,A,76,82,-6
2021-10-30,Man City,Crystal Palace,0.0,0.0,H,85,76,9
2021-10-30,Liverpool,Brighton,0.0,0.0,H,85,75,10
2021-10-30,Burnley,Brentford,0.0,0.0,H,76,72,4
2021-10-30,Tottenham,Man United,0.0,0.0,H,82,82,0
2021-10-31,Norwich City,Leeds,0.0,0.0,H,73,76,-3
2021-10-31,Aston Villa,West Ham,0.0,0.0,H,77,78,-1
2021-11-01,Wolves,Everton,0.0,0.0,H,79,79,0
2021-11-06,West Ham,Liverpool,0.0,0.0,A,78,85,-7
2021-11-06,Southampton,Aston Villa,0.0,0.0,H,76,77,-1
2021-11-06,Man United,Man City,0.0,0.0,H,82,85,-3
2021-11-06,Leeds,Leicester,0.0,0.0,H,76,80,-4
2021-11-06,Everton,Tottenham,0.0,0.0,H,79,82,-3
2021-11-06,Crystal Palace,Wolves,0.0,0.0,H,76,79,-3
2021-11-06,Chelsea,Burnley,0.0,0.0,H,82,76,6
2021-11-06,Brighton,Newcastle,0.0,0.0,H,75,76,-1
2021-11-06,Brentford,Norwich City,0.0,0.0,H,72,73,-1
2021-11-06,Arsenal,Watford,0.0,0.0,H,80,74,6
2021-11-20,Wolves,West Ham,0.0,0.0,H,79,78,1
2021-11-20,Watford,Man United,0.0,0.0,A,74,82,-8
2021-11-20,Tottenham,Leeds,0.0,0.0,H,82,76,6
2021-11-20,Norwich City,Southampton,0.0,0.0,H,73,76,-3
2021-11-20,Newcastle,Brentford,0.0,0.0,H,76,72,4
2021-11-20,Man City,Everton,0.0,0.0,H,85,79,6
2021-11-20,Liverpool,Arsenal,0.0,0.0,H,85,80,5
2021-11-20,Leicester,Chelsea,0.0,0.0,H,80,82,-2
2021-11-20,Burnley,Crystal Palace,0.0,0.0,H,76,76,0
2021-11-20,Aston Villa,Brighton,0.0,0.0,H,77,75,2
2021-11-27,Norwich City,Wolves,0.0,0.0,H,73,79,-6
2021-11-27,Man City,West Ham,0.0,0.0,H,85,78,7
2021-11-27,Liverpool,Southampton,0.0,0.0,H,85,76,9
2021-11-27,Leicester,Watford,0.0,0.0,H,80,74,6
2021-11-27,Crystal Palace,Aston Villa,0.0,0.0,H,76,77,-1
2021-11-27,Chelsea,Man United,0.0,0.0,H,82,82,0
2021-11-27,Burnley,Tottenham,0.0,0.0,A,76,82,-6
2021-11-27,Brighton,Leeds,0.0,0.0,H,75,76,-1
2021-11-27,Brentford,Everton,0.0,0.0,H,72,79,-7
2021-11-27,Arsenal,Newcastle,0.0,0.0,H,80,76,4
2021-11-30,Wolves,Burnley,0.0,0.0,H,79,76,3
2021-11-30,West Ham,Brighton,0.0,0.0,H,78,75,3
2021-11-30,Watford,Chelsea,0.0,0.0,A,74,82,-8
2021-11-30,Leeds,Crystal Palace,0.0,0.0,H,76,76,0
2021-11-30,Everton,Liverpool,0.0,0.0,A,79,85,-6
2021-11-30,Aston Villa,Man City,0.0,0.0,A,77,85,-8
2021-11-30,Man United,Arsenal,0.0,0.0,H,82,80,2
2021-12-01,Tottenham,Brentford,0.0,0.0,H,82,72,10
2021-12-01,Southampton,Leicester,0.0,0.0,A,76,80,-4
2021-12-01,Newcastle,Norwich City,0.0,0.0,H,76,73,3
2021-12-04,Wolves,Liverpool,0.0,0.0,A,79,85,-6
2021-12-04,West Ham,Chelsea,0.0,0.0,H,78,82,-4
2021-12-04,Watford,Man City,0.0,0.0,A,74,85,-11
2021-12-04,Tottenham,Norwich City,0.0,0.0,H,82,73,9
2021-12-04,Southampton,Brighton,0.0,0.0,H,76,75,1
2021-12-04,Newcastle,Burnley,0.0,0.0,H,76,76,0
2021-12-04,Man United,Crystal Palace,0.0,0.0,H,82,76,6
2021-12-04,Leeds,Brentford,0.0,0.0,H,76,72,4
2021-12-04,Everton,Arsenal,0.0,0.0,H,79,80,-1
2021-12-04,Aston Villa,Leicester,0.0,0.0,A,77,80,-3
2021-12-11,Norwich City,Man United,0.0,0.0,H,73,82,-9
2021-12-11,Man City,Wolves,0.0,0.0,H,85,79,6
2021-12-11,Liverpool,Aston Villa,0.0,0.0,H,85,77,8
2021-12-11,Leicester,Newcastle,0.0,0.0,H,80,76,4
