Team,Points,Goal_Diff,Win_Rate
Man United,89,56,0.7368421052631579
Man City,89,64,0.7368421052631579
Arsenal,70,25,0.5526315789473685
Tottenham,69,25,0.5263157894736842
Newcastle,65,5,0.5
Chelsea,64,19,0.47368421052631576
Everton,56,10,0.39473684210526316
Fulham,52,-3,0.3684210526315789
Liverpool,52,7,0.3684210526315789
Norwich,47,-14,0.3157894736842105
West Brom,47,-7,0.34210526315789475
Swansea,47,-7,0.3157894736842105
Sunderland,45,-1,0.2894736842105263
Stoke,45,-17,0.2894736842105263
Wigan,43,-20,0.2894736842105263
Aston Villa,38,-16,0.18421052631578946
QPR,37,-23,0.2631578947368421
Bolton,36,-31,0.2631578947368421
Blackburn,31,-30,0.21052631578947367
Wolves,25,-42,0.13157894736842105
