Team,Points,Goal_Diff,Win_Rate
Man United,79,43,0.5789473684210527
Arsenal,78,42,0.5789473684210527
Chelsea,75,27,0.5263157894736842
Leeds,67,28,0.47368421052631576
West Ham,57,-7,0.42105263157894735
Aston Villa,55,5,0.39473684210526316
Liverpool,54,19,0.39473684210526316
Derby,52,-5,0.34210526315789475
Middlesbrough,51,-6,0.3157894736842105
Leicester,49,-6,0.3157894736842105
Tottenham,47,-3,0.2894736842105263
Newcastle,46,-6,0.2894736842105263
Sheffield Weds,46,-1,0.34210526315789475
Everton,43,-5,0.2894736842105263
Coventry,42,-12,0.2894736842105263
Wimbledon,42,-23,0.2631578947368421
Southampton,41,-27,0.2894736842105263
Charlton,36,-15,0.21052631578947367
Blackburn,35,-14,0.18421052631578946
Nott'm Forest,30,-34,0.18421052631578946
