Team,Points,Goal_Diff,Win_Rate
Arsenal,90,47,0.6842105263157895
Chelsea,79,37,0.631578947368421
Man United,75,29,0.6052631578947368
Liverpool,60,18,0.42105263157894735
Aston Villa,56,4,0.39473684210526316
Newcastle,56,12,0.34210526315789475
Bolton,53,-8,0.3684210526315789
Charlton,53,0,0.3684210526315789
Fulham,52,6,0.3684210526315789
Birmingham,50,-5,0.3157894736842105
Middlesbrough,48,-8,0.34210526315789475
Southampton,47,-1,0.3157894736842105
Tottenham,45,-10,0.34210526315789475
Portsmouth,45,-7,0.3157894736842105
Blackburn,44,-8,0.3157894736842105
Man City,41,1,0.23684210526315788
Everton,39,-12,0.23684210526315788
Wolves,33,-39,0.18421052631578946
Leicester,33,-17,0.15789473684210525
Leeds,33,-39,0.21052631578947367
