Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HT_match_played,HT_current_standing,HT_past_standing,HT_past_goal_diff,HT_past_win_rate,HT_goal_for,HT_goal_against,HT_goal_diff,HT_win_rate_season,AT_match_played,AT_current_standing,AT_past_standing,AT_past_goal_diff,AT_past_win_rate,AT_goal_for,AT_goal_against,AT_goal_diff,AT_win_rate_season,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak,HT_5_win_rate,AT_5_win_rate,current_standing_diff,past_standing_diff,past_goal_diff_diff,past_win_rate_diff,win_rate_season_diff,goal_diff_diff
2000-08-19,Charlton,Man City,4,0,H,0,0,-1,-1,0.0,0,0,0,,0,0,-1,-1,0.0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0.0,,0
2000-08-19,Chelsea,West Ham,4,2,H,0,0,65,19,0.4736842105263158,0,0,0,,0,0,55,-1,0.3947368421052632,0,0,0,,0,0,0,0,0,0,0,0,,,0,10,20,0.0789473684210526,,0
2000-08-19,Coventry,Middlesbrough,1,3,A,0,0,44,-7,0.3157894736842105,0,0,0,,0,0,52,-6,0.3684210526315789,0,0,0,,0,0,0,0,0,0,0,0,,,0,-8,-1,-0.05263157894736842,,0
2000-08-19,Derby,Southampton,2,2,D,0,0,38,-13,0.2368421052631579,0,0,0,,0,0,44,-17,0.3157894736842105,0,0,0,,0,0,0,0,0,0,0,0,,,0,-6,4,-0.0789473684210526,,0
2000-08-19,Leeds,Everton,2,0,H,0,0,69,15,0.5526315789473685,0,0,0,,0,0,50,10,0.3157894736842105,0,0,0,,0,0,0,0,0,0,0,0,,,0,19,5,0.23684210526315796,,0
2000-08-19,Leicester,Aston Villa,0,0,D,0,0,55,0,0.42105263157894735,0,0,0,,0,0,58,11,0.3947368421052632,0,0,0,,0,0,0,0,0,0,0,0,,,0,-3,-11,0.026315789473684126,,0
2000-08-19,Liverpool,Bradford,1,0,H,0,0,67,21,0.5,0,0,0,,0,0,36,-30,0.2368421052631579,0,0,0,,0,0,0,0,0,0,0,0,,,0,31,51,0.2631578947368421,,0
2000-08-19,Sunderland,Arsenal,1,0,H,0,0,58,1,0.42105263157894735,0,0,0,,0,0,73,30,0.5789473684210527,0,0,0,,0,0,0,0,0,0,0,0,,,0,-15,-29,-0.1578947368421053,,0
2000-08-19,Tottenham,Ipswich,3,1,H,0,0,53,8,0.3947368421052632,0,0,0,,0,0,-1,-1,0.0,0,0,0,,0,0,0,0,0,0,0,0,,,0,54,9,0.3947368421052632,,0
2000-08-20,Man United,Newcastle,2,0,H,0,0,91,52,0.7368421052631579,0,0,0,,0,0,52,9,0.3684210526315789,0,0,0,,0,0,0,0,0,0,0,0,,,0,39,43,0.3684210526315789,,0
2000-08-21,Arsenal,Liverpool,2,0,H,1,0,73,30,0.5789473684210527,0,1,-1,0.0,1,3,67,21,0.5,1,0,1,1.0,0,0,0,0,0,0,0,0,,,-3,6,9,0.07894736842105265,-1.0,-2
2000-08-22,Bradford,Chelsea,2,0,H,1,0,36,-30,0.2368421052631579,0,1,-1,0.0,1,3,65,19,0.4736842105263158,4,2,2,1.0,0,0,0,0,0,0,0,0,,,-3,-29,-49,-0.2368421052631579,-1.0,-3
2000-08-22,Ipswich,Man United,1,1,D,1,0,-1,-1,0.0,1,3,-2,0.0,1,3,91,52,0.7368421052631579,2,0,2,1.0,0,0,0,0,0,0,0,0,,,-3,-92,-53,-0.7368421052631579,-1.0,-4
2000-08-22,Middlesbrough,Tottenham,1,1,D,1,3,52,-6,0.3684210526315789,3,1,2,1.0,1,3,53,8,0.3947368421052632,3,1,2,1.0,0,0,0,0,0,0,0,0,,,0,-1,-14,-0.026315789473684292,0.0,0
2000-08-23,Everton,Charlton,3,0,H,1,0,50,10,0.3157894736842105,0,2,-2,0.0,1,3,-1,-1,0.0,4,0,4,1.0,0,0,0,0,0,0,0,0,,,-3,51,11,0.3157894736842105,-1.0,-6
2000-08-23,Man City,Sunderland,4,2,H,1,0,-1,-1,0.0,0,4,-4,0.0,1,3,58,1,0.42105263157894735,1,0,1,1.0,0,0,0,0,0,0,0,0,,,-3,-59,-2,-0.42105263157894735,-1.0,-5
2000-08-23,Newcastle,Derby,3,2,H,1,0,52,9,0.3684210526315789,0,2,-2,0.0,1,1,38,-13,0.2368421052631579,2,2,0,0.0,0,0,0,0,0,0,0,0,,,-1,14,22,0.13157894736842102,0.0,-2
2000-08-23,Southampton,Coventry,1,2,A,1,1,44,-17,0.3157894736842105,2,2,0,0.0,1,0,44,-7,0.3157894736842105,1,3,-2,0.0,0,0,0,0,0,0,0,0,,,1,0,-10,0.0,0.0,2
2000-08-23,West Ham,Leicester,0,1,A,1,0,55,-1,0.3947368421052632,2,4,-2,0.0,1,1,55,0,0.42105263157894735,0,0,0,0.0,0,0,0,0,0,0,0,0,,,-1,0,-1,-0.026315789473684126,0.0,-2
2000-08-26,Arsenal,Charlton,5,3,H,2,3,73,30,0.5789473684210527,2,1,1,0.5,2,3,-1,-1,0.0,4,3,1,0.5,0,0,0,0,0,0,0,0,,,0,74,31,0.5789473684210527,0.0,0
2000-08-26,Bradford,Leicester,0,0,D,2,3,36,-30,0.2368421052631579,2,1,1,0.5,2,4,55,0,0.42105263157894735,1,0,1,0.5,0,0,0,0,0,0,0,0,,,-1,-19,-30,-0.18421052631578944,0.0,0
2000-08-26,Everton,Derby,2,2,D,2,3,50,10,0.3157894736842105,3,2,1,0.5,2,1,38,-13,0.2368421052631579,4,5,-1,0.0,0,0,0,0,0,0,0,0,,,2,12,23,0.0789473684210526,0.5,2
2000-08-26,Ipswich,Sunderland,1,0,H,2,1,-1,-1,0.0,2,4,-2,0.0,2,3,58,1,0.42105263157894735,3,4,-1,0.5,0,0,0,0,0,0,0,0,,,-2,-59,-2,-0.42105263157894735,-0.5,-1
2000-08-26,Man City,Coventry,1,2,A,2,3,-1,-1,0.0,4,6,-2,0.5,2,3,44,-7,0.3157894736842105,3,4,-1,0.5,0,0,0,0,0,0,0,0,,,0,-45,6,-0.3157894736842105,0.0,-1
2000-08-26,Middlesbrough,Leeds,1,2,A,2,4,52,-6,0.3684210526315789,4,2,2,0.5,1,3,69,15,0.5526315789473685,2,0,2,1.0,0,0,0,0,0,0,0,0,,,1,-17,-21,-0.18421052631578955,-0.5,0
2000-08-26,Newcastle,Tottenham,2,0,H,2,3,52,9,0.3684210526315789,3,4,-1,0.5,2,4,53,8,0.3947368421052632,4,2,2,0.5,0,0,0,0,0,0,0,0,,,-1,-1,1,-0.026315789473684292,0.0,-3
2000-08-26,Southampton,Liverpool,3,3,D,2,1,44,-17,0.3157894736842105,3,4,-1,0.0,2,3,67,21,0.5,1,2,-1,0.5,0,0,0,0,0,0,0,0,,,-2,-23,-38,-0.1842105263157895,-0.5,0
2000-08-26,West Ham,Man United,2,2,D,2,0,55,-1,0.3947368421052632,2,5,-3,0.0,2,4,91,52,0.7368421052631579,3,1,2,0.5,0,0,0,0,0,0,0,0,,,-4,-36,-53,-0.34210526315789463,-0.5,-5
2000-08-27,Aston Villa,Chelsea,1,1,D,1,1,58,11,0.3947368421052632,0,0,0,0.0,2,3,65,19,0.4736842105263158,4,4,0,0.5,0,0,0,0,0,0,0,0,,,-2,-7,-8,-0.0789473684210526,-0.5,0
2000-09-05,Leeds,Man City,1,2,A,2,6,69,15,0.5526315789473685,4,1,3,1.0,3,3,-1,-1,0.0,5,8,-3,0.3333333333333333,0,0,0,0,0,0,0,0,,,3,70,16,0.5526315789473685,0.6666666666666667,6
