Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff,HT_match_played,HT_current_standing,HT_past_standing,HT_past_goal_diff,HT_past_win_rate,HT_goal_for,HT_goal_against,HT_goal_diff,HT_win_rate_season,AT_match_played,AT_current_standing,AT_past_standing,AT_past_goal_diff,AT_past_win_rate,AT_goal_for,AT_goal_against,AT_goal_diff,AT_win_rate_season,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak,HT_5_win_rate,AT_5_win_rate,current_standing_diff,past_standing_diff,past_goal_diff_diff,past_win_rate_diff,win_rate_season_diff,goal_diff_diff
2011-08-13,Blackburn,Wolves,1,2,A,74,75,-1,0,0,43,-13,0.2894736842105263,0,0,0,,0,0,40,-20,0.2894736842105263,0,0,0,,0,0,0,0,0,0,0,0,,,0,3,7,0.0,,0
2011-08-13,Fulham,Aston Villa,0,0,D,77,76,1,0,0,49,6,0.2894736842105263,0,0,0,,0,0,48,-11,0.3157894736842105,0,0,0,,0,0,0,0,0,0,0,0,,,0,1,17,-0.02631578947368418,,0
2011-08-13,Liverpool,Sunderland,1,1,D,81,76,5,0,0,58,15,0.4473684210526316,0,0,0,,0,0,47,-11,0.3157894736842105,0,0,0,,0,0,0,0,0,0,0,0,,,0,11,26,0.13157894736842107,,0
2011-08-13,Newcastle,Arsenal,0,0,D,77,81,-4,0,0,46,-1,0.2894736842105263,0,0,0,,0,0,68,29,0.5,0,0,0,,0,0,0,0,0,0,0,0,,,0,-22,-30,-0.21052631578947367,,0
2011-08-13,QPR,Bolton,0,4,A,76,74,2,0,0,-1,-1,0.0,0,0,0,,0,0,46,-4,0.3157894736842105,0,0,0,,0,0,0,0,0,0,0,0,,,0,-47,3,-0.3157894736842105,,0
2011-08-13,Wigan,Norwich,1,1,D,72,72,0,0,0,42,-21,0.2368421052631579,0,0,0,,0,0,-1,-1,0.0,0,0,0,,0,0,0,0,0,0,0,0,,,0,43,-20,0.2368421052631579,,0
2011-08-14,Stoke,Chelsea,0,0,D,76,83,-7,0,0,46,-2,0.34210526315789475,0,0,0,,0,0,71,36,0.5526315789473685,0,0,0,,0,0,0,0,0,0,0,0,,,0,-25,-38,-0.21052631578947373,,0
2011-08-14,West Brom,Man United,1,2,A,74,83,-9,0,0,47,-15,0.3157894736842105,0,0,0,,0,0,80,41,0.6052631578947368,0,0,0,,0,0,0,0,0,0,0,0,,,0,-33,-56,-0.2894736842105263,,0
2011-08-15,Man City,Swansea,4,0,H,83,73,10,0,0,71,27,0.5526315789473685,0,0,0,,0,0,-1,-1,0.0,0,0,0,,0,0,0,0,0,0,0,0,,,0,72,28,0.5526315789473685,,0
2011-08-20,Arsenal,Liverpool,0,2,A,81,81,0,1,1,68,29,0.5,0,0,0,0.0,1,1,58,15,0.4473684210526316,1,1,0,0.0,0,0,0,0,0,0,0,0,,,0,10,14,0.05263157894736842,0.0,0
2011-08-20,Aston Villa,Blackburn,3,1,H,76,74,2,1,1,48,-11,0.3157894736842105,0,0,0,0.0,1,0,43,-13,0.2894736842105263,1,2,-1,0.0,0,0,0,0,0,0,0,0,,,1,5,2,0.02631578947368418,0.0,1
2011-08-20,Chelsea,West Brom,2,1,H,83,74,9,1,1,71,36,0.5526315789473685,0,0,0,0.0,1,0,47,-15,0.3157894736842105,1,2,-1,0.0,0,0,0,0,0,0,0,0,,,1,24,51,0.23684210526315796,0.0,1
2011-08-20,Everton,QPR,0,1,A,77,76,1,0,0,54,6,0.34210526315789475,0,0,0,,1,0,-1,-1,0.0,0,4,-4,0.0,0,0,0,0,0,0,0,0,,,0,55,7,0.34210526315789475,,4
2011-08-20,Sunderland,Newcastle,0,1,A,76,77,-1,1,1,47,-11,0.3157894736842105,1,1,0,0.0,1,1,46,-1,0.2894736842105263,0,0,0,0.0,0,0,0,0,0,0,0,0,,,0,1,-10,0.02631578947368418,0.0,0
2011-08-20,Swansea,Wigan,0,0,D,73,72,1,1,0,-1,-1,0.0,0,4,-4,0.0,1,1,42,-21,0.2368421052631579,1,1,0,0.0,0,0,0,0,0,0,0,0,,,-1,-43,20,-0.2368421052631579,0.0,-4
2011-08-21,Bolton,Man City,2,3,A,74,83,-9,1,3,46,-4,0.3157894736842105,4,0,4,1.0,1,3,71,27,0.5526315789473685,4,0,4,1.0,0,0,0,0,0,0,0,0,,,0,-25,-31,-0.23684210526315796,0.0,0
2011-08-21,Norwich,Stoke,1,1,D,72,76,-4,1,1,-1,-1,0.0,1,1,0,0.0,1,1,46,-2,0.34210526315789475,0,0,0,0.0,0,0,0,0,0,0,0,0,,,0,-47,1,-0.34210526315789475,0.0,0
2011-08-21,Wolves,Fulham,2,0,H,75,77,-2,1,3,40,-20,0.2894736842105263,2,1,1,1.0,1,1,49,6,0.2894736842105263,0,0,0,0.0,0,0,0,0,0,0,0,0,,,2,-9,-26,0.0,1.0,1
2011-08-22,Man United,Tottenham,3,0,H,83,81,2,1,3,80,41,0.6052631578947368,2,1,1,1.0,0,0,62,9,0.42105263157894735,0,0,0,,0,0,0,0,0,0,0,0,,,3,18,32,0.1842105263157895,,1
2011-08-27,Aston Villa,Wolves,0,0,D,76,75,1,2,4,48,-11,0.3157894736842105,3,1,2,0.5,2,6,40,-20,0.2894736842105263,4,1,3,1.0,0,0,0,0,0,0,0,0,,,-2,8,9,0.02631578947368418,-0.5,-1
2011-08-27,Blackburn,Everton,0,1,A,74,77,-3,2,0,43,-13,0.2894736842105263,2,5,-3,0.0,1,0,54,6,0.34210526315789475,0,1,-1,0.0,0,0,0,0,0,0,0,0,,,0,-11,-19,-0.05263157894736842,0.0,-2
2011-08-27,Chelsea,Norwich,3,1,H,83,72,11,2,4,71,36,0.5526315789473685,2,1,1,0.5,2,2,-1,-1,0.0,2,2,0,0.0,0,0,0,0,0,0,0,0,,,2,72,37,0.5526315789473685,0.5,1
2011-08-27,Liverpool,Bolton,3,1,H,81,74,7,2,4,58,15,0.4473684210526316,3,1,2,0.5,2,3,46,-4,0.3157894736842105,6,3,3,0.5,0,0,0,0,0,0,0,0,,,1,12,19,0.13157894736842107,0.0,-1
2011-08-27,Swansea,Sunderland,0,0,D,73,76,-3,2,1,-1,-1,0.0,0,4,-4,0.0,2,1,47,-11,0.3157894736842105,1,2,-1,0.0,0,0,0,0,0,0,0,0,,,0,-48,10,-0.3157894736842105,0.0,-3
2011-08-27,Wigan,QPR,2,0,H,72,76,-4,2,2,42,-21,0.2368421052631579,1,1,0,0.0,2,3,-1,-1,0.0,1,4,-3,0.5,0,0,0,0,0,0,0,0,,,-1,43,-20,0.2368421052631579,-0.5,3
2011-08-28,Man United,Arsenal,8,2,H,83,81,2,2,6,80,41,0.6052631578947368,5,1,4,1.0,2,1,68,29,0.5,0,2,-2,0.0,0,0,0,0,0,0,0,0,,,5,12,12,0.10526315789473684,1.0,6
2011-08-28,Newcastle,Fulham,2,1,H,77,77,0,2,4,46,-1,0.2894736842105263,1,0,1,0.5,2,1,49,6,0.2894736842105263,0,2,-2,0.0,0,0,0,0,0,0,0,0,,,3,-3,-7,0.0,0.5,3
2011-08-28,Tottenham,Man City,1,5,A,81,83,-2,1,0,62,9,0.42105263157894735,0,3,-3,0.0,2,6,71,27,0.5526315789473685,7,2,5,1.0,0,0,0,0,0,0,0,0,,,-6,-9,-18,-0.13157894736842113,-1.0,-8
2011-08-28,West Brom,Stoke,0,1,A,74,76,-2,2,0,47,-15,0.3157894736842105,2,4,-2,0.0,2,2,46,-2,0.34210526315789475,1,1,0,0.0,0,0,0,0,0,0,0,0,,,-2,1,-13,-0.026315789473684237,0.0,-2
2011-09-10,Arsenal,Swansea,1,0,H,81,73,8,3,1,68,29,0.5,2,10,-8,0.0,3,2,-1,-1,0.0,0,4,-4,0.0,0,0,0,0,0,0,0,0,,,-1,69,30,0.5,0.0,-4
2011-09-10,Bolton,Man United,0,5,A,74,83,-9,3,3,46,-4,0.3157894736842105,7,6,1,0.3333333333333333,3,9,80,41,0.6052631578947368,13,3,10,1.0,0,0,0,0,0,0,0,0,,,-6,-34,-45,-0.2894736842105263,-0.6666666666666667,-9
2011-09-10,Everton,Aston Villa,2,2,D,77,76,1,2,3,54,6,0.34210526315789475,1,1,0,0.5,3,5,48,-11,0.3157894736842105,3,1,2,0.3333333333333333,0,0,0,0,0,0,0,0,,,-2,6,17,0.026315789473684237,0.16666666666666669,-2
2011-09-10,Man City,Wigan,3,0,H,83,72,11,3,9,71,27,0.5526315789473685,12,3,9,1.0,3,5,42,-21,0.2368421052631579,3,1,2,0.3333333333333333,0,0,0,0,0,0,0,0,,,4,29,48,0.31578947368421056,0.6666666666666667,7
2011-09-10,Stoke,Liverpool,1,0,H,76,81,-5,3,5,46,-2,0.34210526315789475,2,1,1,0.3333333333333333,3,7,58,15,0.4473684210526316,6,2,4,0.6666666666666666,0,0,0,0,0,0,0,0,,,-2,-12,-17,-0.10526315789473684,-0.3333333333333333,-3
2011-09-10,Sunderland,Chelsea,1,2,A,76,83,-7,3,2,47,-11,0.3157894736842105,1,2,-1,0.0,3,7,71,36,0.5526315789473685,5,2,3,0.6666666666666666,0,0,0,0,0,0,0,0,,,-5,-24,-47,-0.23684210526315796,-0.6666666666666666,-4
2011-09-10,Wolves,Tottenham,0,2,A,75,81,-6,3,7,40,-20,0.2894736842105263,4,1,3,0.6666666666666666,2,0,62,9,0.42105263157894735,1,8,-7,0.0,0,0,0,0,0,0,0,0,,,7,-22,-29,-0.13157894736842102,0.6666666666666666,10
2011-09-11,Fulham,Blackburn,1,1,D,77,74,3,3,1,49,6,0.2894736842105263,1,4,-3,0.0,3,0,43,-13,0.2894736842105263,2,6,-4,0.0,0,0,0,0,0,0,0,0,,,1,6,19,0.0,0.0,1
2011-09-11,Norwich,West Brom,0,1,A,72,74,-2,3,2,-1,-1,0.0,3,5,-2,0.0,3,0,47,-15,0.3157894736842105,2,5,-3,0.0,0,0,0,0,0,0,0,0,,,2,-48,14,-0.3157894736842105,0.0,1
2011-09-12,QPR,Newcastle,0,0,D,76,77,-1,3,3,-1,-1,0.0,1,6,-5,0.3333333333333333,3,7,46,-1,0.2894736842105263,3,1,2,0.6666666666666666,0,0,0,0,0,0,0,0,,,-4,-47,0,-0.2894736842105263,-0.3333333333333333,-7
2011-09-17,Aston Villa,Newcastle,1,1,D,76,77,-1,4,6,48,-11,0.3157894736842105,5,3,2,0.25,4,8,46,-1,0.2894736842105263,3,1,2,0.5,0,0,0,0,0,0,0,0,,,-2,2,-10,0.02631578947368418,-0.25,0
2011-09-17,Blackburn,Arsenal,4,3,H,74,81,-7,4,1,43,-13,0.2894736842105263,3,7,-4,0.0,4,4,68,29,0.5,3,10,-7,0.25,0,0,0,0,0,0,0,0,,,-3,-25,-42,-0.21052631578947367,-0.25,3
2011-09-17,Bolton,Norwich,1,2,A,74,72,2,4,3,46,-4,0.3157894736842105,7,11,-4,0.25,4,2,-1,-1,0.0,3,6,-3,0.0,0,0,1,0,0,0,0,0,,,1,47,-3,0.3157894736842105,0.25,-1
2011-09-17,Everton,Wigan,3,1,H,77,72,5,3,4,54,6,0.34210526315789475,3,3,0,0.3333333333333333,4,5,42,-21,0.2368421052631579,3,4,-1,0.25,0,0,0,0,0,0,0,0,,,-1,12,27,0.10526315789473684,0.08333333333333331,1
2011-09-17,Swansea,West Brom,3,0,H,73,74,-1,4,2,-1,-1,0.0,0,5,-5,0.0,4,3,47,-15,0.3157894736842105,3,5,-2,0.25,0,0,0,0,0,0,0,0,,,-1,-48,14,-0.3157894736842105,-0.25,-3
2011-09-17,Wolves,QPR,0,3,A,75,76,-1,4,7,40,-20,0.2894736842105263,4,3,1,0.5,4,4,-1,-1,0.0,1,6,-5,0.25,0,0,0,0,0,0,0,0,,,3,41,-19,0.2894736842105263,0.25,6
2011-09-18,Fulham,Man City,2,2,D,77,83,-6,4,2,49,6,0.2894736842105263,2,5,-3,0.0,4,12,71,27,0.5526315789473685,15,3,12,1.0,0,0,0,0,1,0,0,0,,,-10,-22,-21,-0.26315789473684215,-1.0,-15
2011-09-18,Man United,Chelsea,3,1,H,83,83,0,4,12,80,41,0.6052631578947368,18,3,15,1.0,4,10,71,36,0.5526315789473685,7,3,4,0.75,1,0,0,0,1,0,0,0,,,2,9,5,0.05263157894736836,0.25,11
2011-09-18,Sunderland,Stoke,4,0,H,76,76,0,4,2,47,-11,0.3157894736842105,2,4,-2,0.0,4,8,46,-2,0.34210526315789475,3,1,2,0.5,0,0,0,0,0,0,0,0,,,-6,1,-9,-0.026315789473684237,-0.5,-4
2011-09-18,Tottenham,Liverpool,4,0,H,81,81,0,3,3,62,9,0.42105263157894735,3,8,-5,0.3333333333333333,4,7,58,15,0.4473684210526316,6,3,3,0.5,0,0,0,0,0,0,0,0,,,-4,4,-6,-0.026315789473684237,-0.16666666666666669,-8
2011-09-24,Arsenal,Bolton,3,0,H,81,74,7,5,4,68,29,0.5,6,14,-8,0.2,5,3,46,-4,0.3157894736842105,8,13,-5,0.2,0,0,0,0,0,0,1,0,0.2,0.2,1,22,33,0.1842105263157895,0.0,-3
2011-09-24,Chelsea,Swansea,4,1,H,83,73,10,5,10,71,36,0.5526315789473685,8,6,2,0.6,5,5,-1,-1,0.0,3,5,-2,0.2,0,0,0,0,0,0,0,0,0.6,0.2,5,72,37,0.5526315789473685,0.39999999999999997,4
2011-09-24,Liverpool,Wolves,2,1,H,81,75,6,5,7,58,15,0.4473684210526316,6,7,-1,0.4,5,7,40,-20,0.2894736842105263,4,6,-2,0.4,0,0,0,0,0,0,0,0,0.4,0.4,0,18,35,0.15789473684210525,0.0,1
2011-09-24,Man City,Everton,2,0,H,83,77,6,5,13,71,27,0.5526315789473685,17,5,12,0.8,4,7,54,6,0.34210526315789475,6,4,2,0.5,0,0,0,0,0,0,0,0,0.8,,6,17,21,0.21052631578947373,0.30000000000000004,10
2011-09-24,Newcastle,Blackburn,3,1,H,77,74,3,5,9,46,-1,0.2894736842105263,4,2,2,0.4,5,4,43,-13,0.2894736842105263,7,10,-3,0.2,0,0,0,0,0,0,0,0,0.4,0.2,5,3,12,0.0,0.2,5
2011-09-24,Stoke,Man United,1,1,D,76,83,-7,5,8,46,-2,0.34210526315789475,3,5,-2,0.4,5,15,80,41,0.6052631578947368,21,4,17,1.0,0,0,0,0,1,1,0,0,0.4,1.0,-7,-34,-43,-0.2631578947368421,-0.6,-19
2011-09-24,West Brom,Fulham,0,0,D,74,77,-3,5,3,47,-15,0.3157894736842105,3,8,-5,0.2,5,3,49,6,0.2894736842105263,4,7,-3,0.0,0,0,0,0,0,0,0,0,0.2,0.0,0,-2,-21,0.02631578947368418,0.2,-2
2011-09-24,Wigan,Tottenham,1,2,A,72,81,-9,5,5,42,-21,0.2368421052631579,4,7,-3,0.2,4,6,62,9,0.42105263157894735,7,8,-1,0.5,0,0,0,0,0,0,0,0,0.2,,-1,-20,-30,-0.18421052631578944,-0.3,-2
2011-09-25,QPR,Aston Villa,1,1,D,76,76,0,5,7,-1,-1,0.0,4,6,-2,0.4,5,7,48,-11,0.3157894736842105,6,4,2,0.2,0,0,0,0,0,0,0,0,0.4,0.2,0,-49,10,-0.3157894736842105,0.2,-4
2011-09-26,Norwich,Sunderland,2,1,H,72,76,-4,5,5,-1,-1,0.0,5,7,-2,0.2,5,5,47,-11,0.3157894736842105,6,4,2,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,-48,10,-0.3157894736842105,0.0,-4
2011-10-01,Aston Villa,Wigan,2,0,H,76,72,4,6,8,48,-11,0.3157894736842105,7,5,2,0.16666666666666666,6,5,42,-21,0.2368421052631579,5,9,-4,0.16666666666666666,0,0,0,0,0,0,1,0,0.2,0.2,3,6,10,0.0789473684210526,0.0,6
2011-10-01,Blackburn,Man City,0,4,A,74,83,-9,6,4,43,-13,0.2894736842105263,8,13,-5,0.16666666666666666,6,16,71,27,0.5526315789473685,19,5,14,0.8333333333333334,0,0,0,0,0,0,0,0,0.2,0.8,-12,-28,-40,-0.26315789473684215,-0.6666666666666667,-19
2011-10-01,Everton,Liverpool,0,2,A,77,81,-4,5,7,54,6,0.34210526315789475,6,6,0,0.4,6,10,58,15,0.4473684210526316,8,8,0,0.5,0,0,0,0,0,0,0,0,0.4,0.6,-3,-4,-9,-0.10526315789473684,-0.09999999999999998,0
2011-10-01,Man United,Norwich,2,0,H,83,72,11,6,16,80,41,0.6052631578947368,22,5,17,0.8333333333333334,6,8,-1,-1,0.0,7,8,-1,0.3333333333333333,0,0,0,0,0,0,0,0,0.8,0.4,8,81,42,0.6052631578947368,0.5,18
2011-10-01,Sunderland,West Brom,2,2,D,76,74,2,6,5,47,-11,0.3157894736842105,7,6,1,0.16666666666666666,6,4,47,-15,0.3157894736842105,3,8,-5,0.16666666666666666,0,0,0,0,0,0,0,0,0.2,0.2,1,0,4,0.0,0.0,6
2011-10-01,Wolves,Newcastle,1,2,A,75,77,-2,6,7,40,-20,0.2894736842105263,5,8,-3,0.3333333333333333,6,12,46,-1,0.2894736842105263,7,3,4,0.5,0,0,1,0,0,0,0,0,0.2,0.6,-5,-6,-19,0.0,-0.16666666666666669,-7
2011-10-02,Bolton,Chelsea,1,5,A,74,83,-9,6,3,46,-4,0.3157894736842105,8,16,-8,0.16666666666666666,6,13,71,36,0.5526315789473685,12,7,5,0.6666666666666666,0,0,1,1,0,0,0,0,0.0,0.8,-10,-25,-40,-0.23684210526315796,-0.5,-13
2011-10-02,Fulham,QPR,6,0,H,77,76,1,6,4,49,6,0.2894736842105263,4,7,-3,0.0,6,8,-1,-1,0.0,5,7,-2,0.3333333333333333,0,0,0,0,0,0,0,0,0.0,0.4,-4,50,7,0.2894736842105263,-0.3333333333333333,-1
2011-10-02,Swansea,Stoke,2,0,H,73,76,-3,6,5,-1,-1,0.0,4,9,-5,0.16666666666666666,6,9,46,-2,0.34210526315789475,4,6,-2,0.3333333333333333,0,0,0,0,0,0,0,0,0.2,0.4,-4,-47,1,-0.34210526315789475,-0.16666666666666666,-3
2011-10-02,Tottenham,Arsenal,2,1,H,81,81,0,5,9,62,9,0.42105263157894735,9,9,0,0.6,6,7,68,29,0.5,9,14,-5,0.3333333333333333,1,0,0,0,0,0,0,0,0.6,0.4,2,-6,-20,-0.07894736842105265,0.26666666666666666,5
2011-10-15,Chelsea,Everton,3,1,H,83,77,6,7,16,71,36,0.5526315789473685,17,8,9,0.7142857142857143,6,7,54,6,0.34210526315789475,6,8,-2,0.3333333333333333,0,0,0,0,0,0,0,0,0.8,0.4,9,17,30,0.21052631578947373,0.380952380952381,11
2011-10-15,Liverpool,Man United,1,1,D,81,83,-2,7,13,58,15,0.4473684210526316,10,8,2,0.5714285714285714,7,19,80,41,0.6052631578947368,24,5,19,0.8571428571428571,0,0,0,0,0,0,0,0,0.6,0.8,-6,-22,-26,-0.15789473684210525,-0.2857142857142857,-17
2011-10-15,Man City,Aston Villa,4,1,H,83,76,7,7,19,71,27,0.5526315789473685,23,5,18,0.8571428571428571,7,11,48,-11,0.3157894736842105,9,5,4,0.2857142857142857,0,0,0,0,0,0,0,0,0.8,0.2,8,23,38,0.23684210526315796,0.5714285714285714,14
2011-10-15,Norwich,Swansea,3,1,H,72,73,-1,7,8,-1,-1,0.0,7,10,-3,0.2857142857142857,7,8,-1,-1,0.0,6,9,-3,0.2857142857142857,0,0,0,0,0,0,0,0,0.4,0.4,0,0,0,0.0,0.0,0
2011-10-15,QPR,Blackburn,1,1,D,76,74,2,7,8,-1,-1,0.0,5,13,-8,0.2857142857142857,7,4,43,-13,0.2894736842105263,8,17,-9,0.14285714285714285,0,0,0,0,0,0,0,0,0.2,0.2,4,-44,12,-0.2894736842105263,0.14285714285714285,1
2011-10-15,Stoke,Fulham,2,0,H,76,77,-1,7,9,46,-2,0.34210526315789475,4,8,-4,0.2857142857142857,7,7,49,6,0.2894736842105263,10,7,3,0.14285714285714285,0,0,0,0,0,0,0,0,0.4,0.2,2,-3,-8,0.05263157894736842,0.14285714285714285,-7
2011-10-15,Wigan,Bolton,1,3,A,72,74,-2,7,5,42,-21,0.2368421052631579,5,11,-6,0.14285714285714285,7,3,46,-4,0.3157894736842105,9,21,-12,0.14285714285714285,0,0,1,0,0,0,1,1,0.2,0.0,2,-4,-17,-0.0789473684210526,0.0,6
2011-10-16,Arsenal,Sunderland,2,1,H,81,76,5,7,7,68,29,0.5,10,16,-6,0.2857142857142857,7,6,47,-11,0.3157894736842105,9,8,1,0.14285714285714285,0,0,0,0,0,0,0,0,0.4,0.2,1,21,40,0.1842105263157895,0.14285714285714285,-7
2011-10-16,Newcastle,Tottenham,2,2,D,77,81,-4,7,15,46,-1,0.2894736842105263,9,4,5,0.5714285714285714,6,12,62,9,0.42105263157894735,11,10,1,0.6666666666666666,0,0,0,0,1,0,0,0,0.6,0.8,3,-16,-10,-0.13157894736842102,-0.09523809523809523,4
2011-10-16,West Brom,Wolves,2,0,H,74,75,-1,7,5,47,-15,0.3157894736842105,5,10,-5,0.14285714285714285,7,7,40,-20,0.2894736842105263,6,10,-4,0.2857142857142857,0,0,0,0,0,0,1,0,0.2,0.0,-2,7,5,0.02631578947368418,-0.14285714285714285,-1
2011-10-22,Aston Villa,West Brom,1,2,A,76,74,2,8,11,48,-11,0.3157894736842105,10,9,1,0.25,8,8,47,-15,0.3157894736842105,7,10,-3,0.25,0,0,0,0,0,0,0,0,0.2,0.4,3,1,4,0.0,0.0,4
2011-10-22,Bolton,Sunderland,0,2,A,74,76,-2,8,6,46,-4,0.3157894736842105,12,22,-10,0.25,8,6,47,-11,0.3157894736842105,10,10,0,0.125,0,0,0,0,0,0,0,0,0.2,0.2,0,-1,7,0.0,0.125,-10
2011-10-22,Liverpool,Norwich,1,1,D,81,72,9,8,14,58,15,0.4473684210526316,11,9,2,0.5,8,11,-1,-1,0.0,10,11,-1,0.375,0,0,0,0,0,0,0,0,0.4,0.6,3,59,16,0.4473684210526316,0.125,3
2011-10-22,Newcastle,Wigan,1,0,H,77,72,5,8,16,46,-1,0.2894736842105263,11,6,5,0.5,8,5,42,-21,0.2368421052631579,6,14,-8,0.125,0,0,0,0,0,0,1,1,0.4,0.0,11,4,20,0.05263157894736842,0.375,13
2011-10-22,Wolves,Swansea,2,2,D,75,73,2,8,7,40,-20,0.2894736842105263,6,12,-6,0.25,8,8,-1,-1,0.0,7,12,-5,0.25,0,0,1,1,0,0,0,0,0.0,0.4,-1,41,-19,0.2894736842105263,0.0,-1
